Antara,ab23@gmail.com,7899654231,1003,Candy,2,2,4,Mon Jun 17 12:13:57 2024
Soumyajit,jit12@gmail.com,6295927996,1004,Chocolate Cake,4,550,2200,Mon Jun 17 12:15:45 2024
kabita,kb12@gmail.com,794326789,1002,Bar-One,3,20,60,Mon Jun 17 12:19:11 2024
arijit,ar12@gmail.com,9834567821,1004,Chocolate Cake,4,550,2200,Mon Jun 17 13:18:25 2024
jit,jit12@gmail.com,6295927996,1003,Candy,45,2,90,Mon Jun 17 13:21:06 2024
Pratima,alo12@gmail.com,9832314537,1001,5 Star,10,10,100,Mon Jun 17 13:24:01 2024
Nayan,ny12@gmail.com,7896543256,1003,Candy,8,2,16,Mon Jun 17 13:26:03 2024
Manju,mb12@gmail.com,7786554326,1002,Bar-One,4,20,80,Mon Jun 17 13:26:45 2024
suresh,suru12@gmail.com,987065425,1005,Blueberry Cake,7,650,4550,Mon Jun 17 13:28:18 2024
Ashish Chalchalani,ashu123@gmail.com,8977563427,1004,Chocolate Cake,5,550,2750,Thu Jun 20 16:49:03 2024
Dhriti The Great,dh12@gmail.com\,8159952224,1004,Chocolate Cake,1,550,550,Thu Jun 20 17:18:28 2024
